(before clear b1),(before clear b2),(before clear b3),(before clear b4),(before clear b5),(before handempty),(before holding b1),(before holding b2),(before holding b3),(before holding b4),(before holding b5),(before on b1 b1),(before on b1 b2),(before on b1 b3),(before on b1 b4),(before on b1 b5),(before on b2 b1),(before on b2 b2),(before on b2 b3),(before on b2 b4),(before on b2 b5),(before on b3 b1),(before on b3 b2),(before on b3 b3),(before on b3 b4),(before on b3 b5),(before on b4 b1),(before on b4 b2),(before on b4 b3),(before on b4 b4),(before on b4 b5),(before on b5 b1),(before on b5 b2),(before on b5 b3),(before on b5 b4),(before on b5 b5),(before ontable b1),(before ontable b2),(before ontable b3),(before ontable b4),(before ontable b5),action,(after clear b1),(after clear b2),(after clear b3),(after clear b4),(after clear b5),(after handempty),(after holding b1),(after holding b2),(after holding b3),(after holding b4),(after holding b5),(after on b1 b1),(after on b1 b2),(after on b1 b3),(after on b1 b4),(after on b1 b5),(after on b2 b1),(after on b2 b2),(after on b2 b3),(after on b2 b4),(after on b2 b5),(after on b3 b1),(after on b3 b2),(after on b3 b3),(after on b3 b4),(after on b3 b5),(after on b4 b1),(after on b4 b2),(after on b4 b3),(after on b4 b4),(after on b4 b5),(after on b5 b1),(after on b5 b2),(after on b5 b3),(after on b5 b4),(after on b5 b5),(after ontable b1),(after ontable b2),(after ontable b3),(after ontable b4),(after ontable b5)
false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,(unstack b2 b3),false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,(put-down b2),false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false
false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,(unstack b3 b1),true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false
true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,(stack b3 b2),false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false
true,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,(unstack b1 b2),false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,(put-down b1),true,true,true,false,false,true,false,true,true,false,false,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false
true,true,true,false,false,true,false,true,true,false,false,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,(unstack b2 b3),true,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
true,false,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,(put-down b2),true,true,true,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false
true,true,true,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,(pick-up b3),true,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false
true,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,(stack b3 b1),true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false
true,true,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,(unstack b2 b4),true,true,false,true,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false
true,true,false,true,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,(put-down b2),true,true,false,true,false,true,false,false,false,true,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false
true,true,false,true,false,true,false,false,false,true,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,(pick-up b4),false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false
false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,(stack b4 b1),false,true,true,true,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false
true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,(unstack b1 b4),false,false,false,true,false,true,true,false,false,true,false,false,false,true,false,false,false,false,false,true,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false
false,false,false,true,false,true,true,false,false,true,false,false,false,true,false,false,false,false,false,true,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,(put-down b1),true,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false
true,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,(unstack b4 b3),true,true,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false
true,true,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,(stack b4 b1),false,false,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false
false,false,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,(unstack b3 b2),false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,true,false
false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,true,false,(put-down b3),true,true,true,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false
true,true,true,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,(unstack b4 b1),true,true,true,false,false,false,false,false,true,true,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false
true,true,true,false,false,false,false,false,true,true,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,(put-down b4),false,true,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,true,false,true,false
false,true,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,true,false,true,false,(pick-up b1),true,true,true,true,false,true,true,false,false,false,false,true,true,true,true,false,true,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false
true,true,true,true,false,true,true,false,false,false,false,true,true,true,true,false,true,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,(stack b1 b2),true,false,false,true,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false
true,false,false,true,false,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,(pick-up b4),true,false,true,true,false,false,false,false,false,true,false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false
true,false,true,true,false,false,false,false,false,true,false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,(stack b4 b1),false,true,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,false
true,true,false,true,false,true,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,(unstack b1 b3),false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false
false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,(stack b1 b4),true,false,true,false,false,true,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,true,true,true,true,false
true,true,true,true,false,true,false,false,false,false,false,true,false,true,false,false,true,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,(unstack b4 b2),false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,false
false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,false,(put-down b4),true,true,true,true,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false
true,true,true,true,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,(pick-up b2),false,false,true,true,false,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false
false,false,true,true,false,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,(stack b2 b4),true,true,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,true,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false
true,true,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,true,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,(pick-up b1),true,true,false,false,false,true,true,false,false,true,false,false,false,true,false,false,false,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false
true,true,false,false,false,true,true,false,false,true,false,false,false,true,false,false,false,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,(stack b1 b2),true,false,true,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false
true,true,true,true,true,true,false,true,true,false,true,false,true,false,false,true,true,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,(unstack b2 b1),true,false,true,true,false,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true
true,false,true,true,false,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,(put-down b2),true,true,true,true,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,true,false,true,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true
true,true,true,true,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,true,false,true,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,(unstack b1 b5),false,true,false,true,true,false,true,false,false,true,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,true,true
false,true,false,true,true,false,true,false,false,true,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,true,true,(put-down b1),true,false,true,true,true,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,true,true,false,true
true,false,true,true,true,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,true,true,false,true,(pick-up b2),true,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,true,false,true,false,false,false,true,true,true,true,true,true
true,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,true,false,true,false,false,false,true,true,true,true,true,true,(stack b2 b1),false,false,true,true,true,true,false,false,false,false,false,false,true,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false
false,false,true,true,true,true,false,false,false,false,false,false,true,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false,(pick-up b4),true,true,true,false,true,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,true
true,true,true,false,true,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,true,(stack b4 b5),true,true,false,true,false,true,false,false,true,false,false,true,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
false,true,false,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,true,true,true,false,false,false,true,false,false,true,true,false,(unstack b2 b1),true,false,false,true,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,true,false,true,true,false
true,false,false,true,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,true,false,true,true,false,(put-down b2),true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,true,true,false,false
true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,true,true,false,false,(pick-up b1),true,true,false,false,false,true,true,false,false,false,false,true,false,true,false,false,false,true,true,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,true,false,true
true,true,false,false,false,true,true,false,false,false,false,true,false,true,false,false,false,true,true,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,true,false,true,(stack b1 b2),true,false,false,true,false,true,true,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,true
true,false,false,true,false,true,true,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,true,(unstack b4 b5),true,false,true,true,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,false
true,false,true,true,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,false,(stack b4 b1),false,false,false,false,true,true,false,false,false,true,false,false,true,false,true,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,true,true,false,false,true,true,false,false
false,false,false,false,true,true,false,false,false,true,false,false,true,false,true,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,true,true,false,false,true,true,false,false,(unstack b5 b3),false,false,true,false,false,false,true,false,false,false,true,false,true,false,true,false,false,false,true,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,false,false,true,true,false,false
false,false,true,false,false,false,true,false,false,false,true,false,true,false,true,false,false,false,true,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,false,false,true,true,false,false,(put-down b5),true,false,true,true,true,true,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,true,false,false,true,true,false,true,true
true,false,true,true,true,true,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,true,false,false,true,true,false,true,true,(unstack b4 b1),true,false,true,false,false,true,false,false,false,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true
true,false,true,false,false,true,false,false,false,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,(put-down b4),true,false,false,true,true,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,true,true,true,false
true,false,false,true,true,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,true,true,true,false,(pick-up b5),true,false,true,true,false,false,true,false,false,false,true,true,false,true,true,false,false,false,true,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false
true,false,true,true,false,false,true,false,false,false,true,true,false,true,true,false,false,false,true,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,(stack b5 b4),true,false,false,true,true,true,false,false,true,false,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,true,true,true,true,true,true,false
true,false,false,true,true,true,false,false,true,false,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,true,true,true,true,true,true,false,(unstack b1 b2),false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,true,true,true,false
false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,true,true,true,false,(put-down b1),true,true,false,true,true,true,false,false,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,true,false,true,true,true,true,false
true,true,false,true,true,true,false,false,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,true,false,true,true,true,true,false,(pick-up b2),true,false,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,true,true,true
true,false,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,true,true,true,(stack b2 b3),true,false,false,true,true,true,false,true,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,true,false,true,true,true
true,false,false,true,true,true,false,true,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,true,false,true,true,true,(pick-up b1),false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false
false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,false,(stack b1 b2),true,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false
true,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,(unstack b5 b4),false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,true,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true
false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,true,false,true,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,(put-down b5),true,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false,true
true,false,false,true,true,true,false,true,false,false,false,false,true,false,false,false,false,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false,true,(pick-up b4),true,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true
